slug,name,name_zh,source_url,entity_id,method,confidence,matched_label,matched_description
salma-celeste-paralluelo-ayingono,Salma Celeste Paralluelo Ayingono,萨尔马·帕拉尔卢埃洛,https://www.wikidata.org/wiki/Q61762234,Q61762234,wikidata-zh-label,high,薩爾馬·帕拉爾盧埃洛,Spanish association football player
tabitha-chawinga,Tabitha Chawinga,塔比莎·查温佳,https://www.wikidata.org/wiki/Q24450597,Q24450597,wikidata-zh-label,high,塔比莎·查温佳,Malawian association football player
trinity-rodman,Trinity Rodman,崔妮蒂·罗德曼,https://www.wikidata.org/wiki/Q97760769,Q97760769,wikidata-zh-label,high,崔妮蒂·罗德曼,American soccer player
chloe-kelly,Chloe Kelly,克洛伊·凯利,https://www.wikidata.org/wiki/Q25143934,Q25143934,wikidata-zh-label,high,克洛伊·凱利,English association football player
alexander-isak,Alexander Isak,亚历山大·伊萨克,https://www.wikidata.org/wiki/Q23759917,Q23759917,wikidata-zh-label,high,亚历山大·伊萨克,Swedish footballer (born 1999)
viktor-gyokeres,Viktor Gyökeres,维克托·哲凯赖什,https://www.wikidata.org/wiki/Q47075606,Q47075606,wikidata-zh-label,high,维克托·哲凯赖什,Swedish footballer (born 1998)
rayan-cherki,Rayan Cherki,拉扬·切尔基,https://www.wikidata.org/wiki/Q64736321,Q64736321,wikidata-zh-label,high,拉揚·切爾基,French footballer (born 2003)
florian-wirtz,Florian Wirtz,弗洛里安·维尔茨,https://www.wikidata.org/wiki/Q94699949,Q94699949,wikidata-zh-label,high,弗洛里安·维尔茨,German association football player (born 2003)
julian-alvarez,Julián Alvarez,胡利安·阿瓦雷斯,https://www.wikidata.org/wiki/Q59381180,Q59381180,wikidata-zh-label,high,胡利安·阿瓦雷斯,Argentine footballer (born 2000)
selma-bacha,Selma Bacha,塞尔玛·巴查,https://www.wikidata.org/wiki/Q52530105,Q52530105,wikidata-zh-label,high,塞尔玛·巴查,French association football player
marie-katoto,Marie Katoto,玛丽-安托瓦内特·卡托托,https://zh.wikipedia.org/wiki/瑪麗-安東妮·卡托托,,researched-standard-name,high,,
desire-doue,Désiré Doué,德西雷·杜埃,https://www.wikidata.org/wiki/Q112170256,Q112170256,wikidata-zh-label,high,德西雷·杜埃,French footballer (born 2005)
guro-reiten,Guro Reiten,顾洛·蕾滕,https://www.wikidata.org/wiki/Q11973397,Q11973397,wikidata-zh-label,high,顾洛·蕾滕,Norwegian association football player
lindsey-heaps,Lindsey Heaps,林德赛·霍兰,https://www.wikidata.org/wiki/Q6552885,Q6552885,wikidata-zh-label,high,林德赛·霍兰,American soccer player
cole-palmer,Cole Palmer,科尔·帕尔默,https://www.wikidata.org/wiki/Q99760796,Q99760796,wikidata-zh-label,high,科尔·帕尔默,English footballer (born 2002)
alyssa-thompson,Alyssa Thompson,艾莉莎·汤普森,https://www.wikidata.org/wiki/Q114379656,Q114379656,wikidata-zh-label,high,艾莉莎·湯普森,American soccer player (born 2004)
caitlin-foord,Caitlin Foord,凯特琳·富德,https://www.wikidata.org/wiki/Q513258,Q513258,wikidata-zh-label,high,凯特琳·富德,Australian soccer player
lea-schuller,Lea Schüller,莱娅·许勒尔,https://www.wikidata.org/wiki/Q16319693,Q16319693,wikidata-zh-label,high,莱娅·许勒尔,German association football player
jess-park,Jess Park,,https://www.wikidata.org/wiki/Q45307952,Q45307952,unresolved,unresolved,Jess Park,English association football player (born 2001)
lauren-james,Lauren James,劳伦·詹姆斯,https://www.wikidata.org/wiki/Q42416276,Q42416276,wikidata-zh-label,review,劳伦·詹姆斯,English association football player
sandy-baltimore,Sandy Baltimore,桑迪·巴尔的摩,https://www.wikidata.org/wiki/Q54669922,Q54669922,wikidata-zh-label,high,桑迪·巴尔的摩,French association football player
antoine-semenyo,Antoine Semenyo,安托万·塞梅诺,https://www.wikidata.org/wiki/Q52990659,Q52990659,wikidata-zh-label,high,安托萬·塞梅諾,Ghanaian association football player (born 2000)
hugo-ekitike,Hugo Ekitiké,雨果·埃基蒂克,https://www.wikidata.org/wiki/Q100602910,Q100602910,wikidata-zh-label,high,雨果·埃基蒂克,French footballer (born 2002)
serhou-guirassy,Serhou Guirassy,塞鲁·吉拉西,https://www.wikidata.org/wiki/Q18637429,Q18637429,wikidata-zh-label,high,塞鲁·吉拉西,Guinean-French footballer (born 1996)
deniz-undav,Deniz Undav,德尼兹·翁达夫,https://www.wikidata.org/wiki/Q55955918,Q55955918,wikidata-zh-label,high,德尼兹·翁达夫,German association football player
svenja-huth,Svenja Huth,斯文娅·胡特,https://www.wikidata.org/wiki/Q529199,Q529199,wikidata-zh-label,high,斯文娅·胡特,German footballer
paulo-dybala,Paulo Dybala,保罗·迪巴拉,https://www.wikidata.org/wiki/Q166317,Q166317,wikidata-zh-label,high,保罗·迪巴拉,Argentine association football player (born 1993)
marcus-thuram,Marcus Thuram,马库斯·图拉姆,https://www.wikidata.org/wiki/Q19903718,Q19903718,wikidata-zh-label,high,马库斯·图拉姆,French footballer (born 1997)
linda-caicedo,Linda Caicedo,琳达·凯塞多,https://www.wikidata.org/wiki/Q105723669,Q105723669,wikidata-zh-label,high,琳达·凯塞多,Colombian footballer (born 2005)
kerolin-nicoli-israel-ferraz,Kerolin Nicoli Israel Ferraz,克罗琳,https://www.wikidata.org/wiki/Q66311599,Q66311599,wikidata-zh-label,high,克羅琳,Brazilian footballer
ada-hegerberg,Ada Hegerberg,阿达·海格贝尔格,https://www.wikidata.org/wiki/Q129118,Q129118,wikidata-zh-label,high,阿达·海格贝尔格,Norwegian footballer
clara-mateo,Clara Mateo,,https://www.wikidata.org/wiki/Q26203756,Q26203756,unresolved,unresolved,Clara Mateo,French association football player
sam-kerr,Sam Kerr,山姆·科尔,https://www.wikidata.org/wiki/Q919634,Q919634,wikidata-zh-label,high,山姆·科尔,Australian soccer player
mallory-swanson,Mallory Swanson,马洛丽·斯旺森,https://www.wikidata.org/wiki/Q22249639,Q22249639,wikidata-zh-label,high,马洛丽·斯旺森,American soccer player
delphine-cascarino,Delphine Cascarino,黛勒芬·卡斯卡里诺,https://www.wikidata.org/wiki/Q3021812,Q3021812,wikidata-zh-label,high,黛勒芬·卡斯卡里諾,French footballer (born 1997)
bradley-barcola,Bradley Barcola,布拉德利·巴尔科拉,https://www.wikidata.org/wiki/Q99670930,Q99670930,wikidata-zh-label,high,布拉德利·巴尔科拉,French footballer (born 2002)
victor-osimhen,Victor Osimhen,维克多·奥斯梅恩,https://www.wikidata.org/wiki/Q25253293,Q25253293,wikidata-zh-label,high,维克多·奥斯梅恩,Nigerian footballer (born 1998)
beth-mead,Beth Mead,贝丝·米德,https://www.wikidata.org/wiki/Q20706960,Q20706960,wikidata-zh-label,high,貝絲·米德,English footballer
melvine-malard,Melvine Malard,,https://www.wikidata.org/wiki/Q64068571,Q64068571,unresolved,unresolved,Melvine Malard,French women's association football player
linda-dallmann,Linda Dallmann,琳达·达尔曼,https://www.wikidata.org/wiki/Q1825844,Q1825844,wikidata-zh-label,high,琳达·达尔曼,German association football player
laura-freigang,Laura Freigang,劳拉·弗赖冈,https://www.wikidata.org/wiki/Q19288917,Q19288917,wikidata-zh-label,high,劳拉·弗赖冈,German association football player
morgan-rogers,Morgan Rogers,摩根·罗杰斯,https://www.wikidata.org/wiki/Q61598452,Q61598452,wikidata-zh-label,high,摩根·罗杰斯,English association football player
jeremy-doku,Jérémy Doku,杰里米·多库,https://www.wikidata.org/wiki/Q59209505,Q59209505,wikidata-zh-label,high,杰里米·多库,Belgian association footballer (born 2002)
phil-foden,Phil Foden,菲尔·福登,https://www.wikidata.org/wiki/Q30729096,Q30729096,wikidata-zh-label,high,菲爾·福登,English footballer (born 2000)
kenan-yldz,Kenan Yıldız,凯南·耶尔德兹,https://www.wikidata.org/wiki/Q113184832,Q113184832,wikidata-zh-label,high,凯南·耶尔德兹,Turkish association football player (born 2005)
nicolas-paz-martinez,Nicolás Paz Martínez,尼科·帕斯,https://www.wikidata.org/wiki/Q111336539,Q111336539,wikidata-zh-label,high,尼科·帕斯,Argentine-Spanish footballer (born 2004)
victoria-lopez-serrano-felix,Victoria López Serrano Felix,维琪·洛佩斯,https://www.wikidata.org/wiki/Q108422572,Q108422572,wikidata-zh-label,high,维琪·洛佩斯,Spanish association football player
esmee-brugts,Esmee Brugts,,https://www.wikidata.org/wiki/Q67214744,Q67214744,unresolved,unresolved,Esmee Brugts,Dutch association football player
athenea-del-castillo,Athenea Del Castillo,阿西妮娅·德尔·卡斯蒂略,https://www.wikidata.org/wiki/Q91913349,Q91913349,wikidata-zh-label,high,阿西妮娅·德尔·卡斯蒂略,Spanish association football player
nicholas-williams-arthuer,Nicholas Williams Arthuer,尼科·威廉斯,https://www.wikidata.org/wiki/Q104414736,Q104414736,wikidata-zh-label,high,尼科·威廉斯,Spanish footballer
rodrygo-silva-de-goes,Rodrygo Silva de Goes,罗德里戈·格斯,https://www.wikidata.org/wiki/Q42728914,Q42728914,wikidata-zh-label,high,罗德里戈·格斯,Brazilian association football player
mikel-oyarzabal-ugarte,Mikel Oyarzabal Ugarte,米克尔·奥亚萨瓦尔,https://www.wikidata.org/wiki/Q21195147,Q21195147,wikidata-zh-label,high,米克尔·奥亚萨瓦尔,Spanish footballer (born 1997)
c-ronaldo-dos-santos-aveiro,C. Ronaldo dos Santos Aveiro,克里斯蒂亚诺·罗纳尔多,https://zh.wikipedia.org/wiki/基斯坦奴·朗拿度,,researched-standard-name,high,,
sergej-milinkovic-savic,Sergej Milinković-Savić,塞尔吉·米林科维奇·萨维奇,https://www.wikidata.org/wiki/Q15673000,Q15673000,wikidata-zh-label,high,塞爾吉·米林科維奇·薩維奇,Serbian association football player
julian-quinones,Julián Quiñones,胡利安·基尼奥内斯,https://www.wikidata.org/wiki/Q22082627,Q22082627,wikidata-zh-label,high,胡利安·基尼奥内斯,Mexican association football player
yan-diomande,Yan Diomande,扬·迪奥曼德,https://www.wikidata.org/wiki/Q133698867,Q133698867,wikidata-zh-label,high,扬·迪奥曼德,Ivorian footballer
jule-brand,Jule Brand,尤勒·布兰德,https://www.wikidata.org/wiki/Q97738880,Q97738880,wikidata-zh-label,high,尤勒·布兰德,German footballer
ferran-torres-garcia,Ferran Torres García,费兰·托雷斯,https://www.wikidata.org/wiki/Q44297797,Q44297797,wikidata-zh-label,high,费兰·托雷斯,Spanish footballer (born 2000)
bernardo-mota-carvalho-e-silva,Bernardo Mota Carvalho e Silva,贝尔纳多·席尔瓦,https://zh.wikipedia.org/wiki/貝納爾多·席爾瓦,,researched-standard-name,high,,
marta-vieira-da-silva,Marta Vieira da Silva,玛塔,https://www.wikidata.org/wiki/Q228616,Q228616,wikidata-zh-label,high,玛塔,Brazilian footballer (born 1986)
ashley-sanchez,Ashley Sanchez,艾许莉·桑切斯,https://www.wikidata.org/wiki/Q42308093,Q42308093,wikidata-zh-label,high,艾許莉·桑切斯,American soccer player (born 1999)
robert-lewandowski,Robert Lewandowski,罗伯特·莱万多夫斯基,https://www.wikidata.org/wiki/Q151269,Q151269,wikidata-zh-label,high,罗伯特·莱万多夫斯基,Polish association football player (born 1988)
antoine-griezmann,Antoine Griezmann,安托万·格里兹曼,https://www.wikidata.org/wiki/Q455462,Q455462,wikidata-zh-label,high,安托万·格里兹曼,French footballer (born 1991)
fridolina-rolfo,Fridolina Rolfö,弗里多丽娜·罗尔富,https://www.wikidata.org/wiki/Q5503587,Q5503587,wikidata-zh-label,high,弗里多丽娜·罗尔富,Swedish association football player
geraldine-reuteler,Géraldine Reuteler,格拉尔迪娜·罗伊特勒,https://www.wikidata.org/wiki/Q29169173,Q29169173,wikidata-zh-label,high,格拉尔迪娜·罗伊特勒,Swiss association football player
nicole-anyomi,Nicole Anyomi,妮科尔·安约米,https://www.wikidata.org/wiki/Q27500890,Q27500890,wikidata-zh-label,high,妮科尔·安约米,German association football player
selina-cerci,Selina Cerci,,https://www.wikidata.org/wiki/Q66312902,Q66312902,unresolved,unresolved,Selina Cerci,German footballer
eberechi-eze,Eberechi Eze,伊贝雷齐·伊兹,https://www.wikidata.org/wiki/Q28445512,Q28445512,wikidata-zh-label,high,伊贝雷齐·伊兹,English association football player (born 1998)
aitana-bonmati-conca,Aitana Bonmatí Conca,艾塔娜·邦马蒂,https://www.wikidata.org/wiki/Q27995553,Q27995553,wikidata-zh-label,high,艾塔娜·邦马蒂,Spanish football player
rodrigo-hernandez-cascante,Rodrigo Hernández Cascante,罗德里,https://www.wikidata.org/wiki/Q20994118,Q20994118,wikidata-zh-label,high,罗德里,Spanish association football player (born 1996)
vitor-machado-ferreira,Vítor Machado Ferreira,维蒂尼亚,https://www.wikidata.org/wiki/Q66818509,Q66818509,wikidata-zh-label,high,维蒂尼亚,Portuguese footballer (born 2000)
pedro-gonzalez-lopez,Pedro González López,佩德里,https://www.wikidata.org/wiki/Q66606355,Q66606355,wikidata-zh-label,high,佩德里,Spanish association football player
maria-francesca-caldentey-oliver,María Francesca Caldentey Oliver,马里奥娜·卡尔登泰,https://www.wikidata.org/wiki/Q27910301,Q27910301,wikidata-zh-label,high,马里奥娜·卡尔登泰,Spanish association football player
nuno-alexandre-tavares-mendes,Nuno Alexandre Tavares Mendes,努诺·门德斯,https://www.wikidata.org/wiki/Q96396963,Q96396963,wikidata-zh-label,high,努诺·门德斯,Portuguese footballer (born 2002)
bruno-miguel-borges-fernandes,Bruno Miguel Borges Fernandes,布鲁诺·费尔南德斯,https://www.wikidata.org/wiki/Q4979316,Q4979316,wikidata-zh-label,high,布鲁诺·费尔南德斯,Portuguese association football player (born 1994)
patricia-guijarro-gutierrez,Patricia Guijarro Gutiérrez,派翠西亚·吉耶罗,https://www.wikidata.org/wiki/Q27916814,Q27916814,wikidata-zh-label,high,派翠西亞·吉耶羅,Spanish association football player
yui-hasegawa,Yui Hasegawa,长谷川唯,https://www.wikidata.org/wiki/Q18121626,Q18121626,wikidata-zh-label,high,长谷川唯,Japanese association football player
joshua-kimmich,Joshua Kimmich,约书亚·基米希,https://www.wikidata.org/wiki/Q13865408,Q13865408,wikidata-zh-label,high,約書亞·基米希,German association football player (born 1995)
declan-rice,Declan Rice,德克兰·赖斯,https://www.wikidata.org/wiki/Q30007142,Q30007142,wikidata-zh-label,high,德克兰·赖斯,English footballer (born 1999)
joao-pedro-goncalves-neves,João Pedro Gonçalves Neves,若昂·内维斯,https://www.wikidata.org/wiki/Q113551733,Q113551733,wikidata-zh-label,high,若昂·内维斯,Portuguese footballer (born 2004)
achraf-hakimi,Achraf Hakimi,阿什拉夫·哈基米,https://www.wikidata.org/wiki/Q26932598,Q26932598,wikidata-zh-label,high,阿什拉夫·哈基米,Moroccan-Spanish footballer (born 1998)
sakina-karchaoui,Sakina Karchaoui,萨基娜·卡尔沙维,https://www.wikidata.org/wiki/Q23874818,Q23874818,wikidata-zh-label,high,萨基娜·卡尔沙维,Moroccan and French footballer
ona-batlle-pascual,Ona Batlle Pascual,安娜·巴耶,https://www.wikidata.org/wiki/Q50375727,Q50375727,wikidata-zh-label,high,安娜·巴耶,Spanish association football player
nicolo-barella,Nicolò Barella,尼科洛·巴雷拉,https://www.wikidata.org/wiki/Q20090225,Q20090225,wikidata-zh-label,high,尼科洛·巴雷拉,Italian association football player
federico-valverde,Federico Valverde,费德里科·巴尔韦德,https://www.wikidata.org/wiki/Q19509544,Q19509544,wikidata-zh-label,high,费德里科·巴尔韦德,Uruguayan professional footballer (born 1998)
mohamed-salah,Mohamed Salah,穆罕默德·萨拉赫,https://www.wikidata.org/wiki/Q1354960,Q1354960,wikidata-zh-label,high,穆罕默德·萨拉赫,Egyptian association football player (born 1992)
georgia-stanway,Georgia Stanway,乔治亚·斯坦威,https://www.wikidata.org/wiki/Q24060307,Q24060307,wikidata-zh-label,high,喬治亞·斯坦威,English association football player
katie-mccabe,Katie McCabe,凯蒂·麦凯布,https://www.wikidata.org/wiki/Q22006753,Q22006753,wikidata-zh-label,high,凯蒂·麦凯布,Irish association football player
dominik-szoboszlai,Dominik Szoboszlai,索博斯莱·多米尼克,https://www.wikidata.org/wiki/Q30134278,Q30134278,wikidata-zh-label,high,索博斯萊·多米尼克,Hungarian association football player (born 2000)
martin-odegaard,Martin Ødegaard,马丁·厄德高,https://www.wikidata.org/wiki/Q16902219,Q16902219,wikidata-zh-label,high,马丁·厄德高,Norwegian footballer (born 1998)
bruno-guimaraes-moura,Bruno Guimarães Moura,布鲁诺·吉马良斯,https://zh.wikipedia.org/wiki/布魯諾·吉馬良斯,,researched-standard-name,high,,
moises-caicedo,Moisés Caicedo,摩西斯·卡些度,https://www.wikidata.org/wiki/Q87715532,Q87715532,wikidata-zh-label,high,摩西斯·卡些度,Ecuatorian association football player (born 2001)
enzo-fernandez,Enzo Fernández,恩佐·费尔南德斯,https://www.wikidata.org/wiki/Q96105248,Q96105248,wikidata-zh-label,high,恩佐·费尔南德斯,Argentine footballer (born 2001)
scott-mctominay,Scott McTominay,麦汤明尼,https://www.wikidata.org/wiki/Q29624459,Q29624459,wikidata-zh-label,high,麥湯明尼,Scottish association football player (born 1996)
federico-dimarco,Federico Dimarco,费德里科·迪马尔科,https://www.wikidata.org/wiki/Q20204829,Q20204829,wikidata-zh-label,high,费德里科·迪马尔科,Italian footballer (born 1997)
frenkie-de-jong,Frenkie de Jong,弗兰基·德容,https://www.wikidata.org/wiki/Q19898898,Q19898898,wikidata-zh-label,high,弗蘭基·德容,Dutch association football player (born 1997)
caroline-weir,Caroline Weir,,https://www.wikidata.org/wiki/Q16228291,Q16228291,unresolved,unresolved,Caroline Weir,Scottish footballer (born 1995)
fabian-ruiz-pena,Fabián Ruiz Peña,法比安·鲁伊斯,https://www.wikidata.org/wiki/Q18637930,Q18637930,wikidata-zh-label,high,法比安·魯伊斯,Spanish footballer
kerstin-casparij,Kerstin Casparij,,https://www.wikidata.org/wiki/Q55407910,Q55407910,unresolved,unresolved,Kerstin Casparij,Dutch association football player
emily-fox,Emily Fox,艾蜜莉·福克斯,https://www.wikidata.org/wiki/Q58416615,Q58416615,wikidata-zh-label,review,艾蜜莉·福克斯,American soccer player
erin-cuthbert,Erin Cuthbert,埃琳·卡思伯特,https://www.wikidata.org/wiki/Q23771964,Q23771964,wikidata-zh-label,high,埃琳·卡思伯特,Scottish football player (born 1998)
alex-greenwood,Alex Greenwood,亚历克丝·格林伍德,https://www.wikidata.org/wiki/Q17615791,Q17615791,wikidata-zh-label,high,亚历克丝·格林伍德,English association football player (born 1993)
ellie-carpenter,Ellie Carpenter,艾莉·卡彭特,https://www.wikidata.org/wiki/Q23013501,Q23013501,wikidata-zh-label,high,艾莉·卡彭特,Australian soccer player
lucy-bronze,Lucy Bronze,露西·布龙泽,https://www.wikidata.org/wiki/Q6698219,Q6698219,wikidata-zh-label,high,露西·布龙泽,English footballer (born 1991)
keira-walsh,Keira Walsh,凯拉·沃尔什,https://www.wikidata.org/wiki/Q24060309,Q24060309,wikidata-zh-label,high,凯拉·沃尔什,English footballer (born 1997)
youri-tielemans,Youri Tielemans,约埃里·蒂耶莱曼斯,https://www.wikidata.org/wiki/Q14327453,Q14327453,wikidata-zh-label,high,约埃里·蒂耶莱曼斯,Belgian footballer (born 1997)
sandro-tonali,Sandro Tonali,桑德罗·托纳利,https://www.wikidata.org/wiki/Q43402334,Q43402334,wikidata-zh-label,high,桑德罗·托纳利,Italian association football player
granit-xhaka,Granit Xhaka,格拉尼特·扎卡,https://www.wikidata.org/wiki/Q514427,Q514427,wikidata-zh-label,high,格拉尼特·扎卡,Swiss footballer (born 1975)
ryan-gravenberch,Ryan Gravenberch,瑞安·格拉文贝尔赫,https://www.wikidata.org/wiki/Q56257870,Q56257870,wikidata-zh-label,high,瑞安·格拉文贝尔赫,Dutch association football player (born 2002)
konrad-laimer,Konrad Laimer,孔拉德·莱梅尔,https://www.wikidata.org/wiki/Q18670270,Q18670270,wikidata-zh-label,high,孔拉德·萊梅爾,Austrian footballer (born 1997)
felix-nmecha,Felix Nmecha,费利克斯·恩梅查,https://www.wikidata.org/wiki/Q60889488,Q60889488,wikidata-zh-label,high,费利克斯·恩梅查,German association football player
luka-modric,Luka Modrić,卢卡·莫德里奇,https://www.wikidata.org/wiki/Q483837,Q483837,wikidata-zh-label,high,卢卡·莫德里奇,Croatian footballer (born 1985)
kevin-de-bruyne,Kevin De Bruyne,凯文·德布劳内,https://www.wikidata.org/wiki/Q357984,Q357984,wikidata-zh-label,high,凯文·德布劳内,Belgian association football player (born 1991)
hakan-calhanoglu,Hakan Çalhanoğlu,哈坎·恰尔汗奥卢,https://www.wikidata.org/wiki/Q763465,Q763465,wikidata-zh-label,high,哈坎·恰尔汗奥卢,Turkish association football player (born 1994)
adrien-rabiot,Adrien Rabiot,阿德里安·拉比奥,https://www.wikidata.org/wiki/Q18962,Q18962,wikidata-zh-label,high,阿德里安·拉比奥,French footballer (born 1995)
willian-pacho,Willian Pacho,威廉·帕乔,https://www.wikidata.org/wiki/Q87767569,Q87767569,wikidata-zh-label,high,威廉·帕乔,Ecuadorian association football player
gabriel-dos-s-magalhaes,Gabriel dos S. Magalhães,加布里埃尔·马加良斯,https://zh.wikipedia.org/wiki/加比爾·馬加希斯,,researched-standard-name,high,,
maria-pilar-leon-cebrian,María Pilar León Cebrián,玛丽亚·利昂,https://www.wikidata.org/wiki/Q26838555,Q26838555,wikidata-zh-label,high,瑪麗亞·利昂,Spanish association football player
william-saliba,William Saliba,威廉·萨利巴,https://www.wikidata.org/wiki/Q56868118,Q56868118,wikidata-zh-label,high,威廉·萨利巴,French footballer (born 2001)
virgil-van-dijk,Virgil van Dijk,维吉尔·范戴克,https://www.wikidata.org/wiki/Q133903,Q133903,wikidata-zh-label,high,维吉尔·范戴克,Dutch association football player (born 1991)
irene-paredes-hernandez,Irene Paredes Hernández,伊莲内·帕雷德斯,https://www.wikidata.org/wiki/Q10524460,Q10524460,wikidata-zh-label,high,伊蓮內·帕雷德斯,Spanish footballer
